,Question,Type,category_id
0,Is Hirschsprung disease a mendelian or a multifactorial disorder?,summary,0
1,List signaling molecules (ligands) that interact with the receptor EGFR?,list,1
2,Is the protein Papilin secreted?,yesno,2
3,Are long non coding RNAs spliced?,yesno,2
4,Is RANKL secreted from the cells?,yesno,2
5,Does metformin interfere thyroxine absorption?,yesno,2
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,list,1
7,Which acetylcholinesterase inhibitors are used for treatment of myasthenia gravis?,list,1
8,Has Denosumab (Prolia) been approved by FDA?,yesno,2
9,List the human genes encoding for the dishevelled proteins?,list,1
10,Name synonym of Acrokeratosis paraneoplastica.,factoid,3
11,Which are the classes of anti-arrhythmic drugs according to Vaughan-Williams classification?,list,1
12,Which are the different isoforms of the mammalian Notch receptor?,list,1
13,Which are the major characteristics of cellular senescence?,list,1
14,Orteronel was developed for treatment of which cancer?,factoid,3
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,yesno,2
16,Which is the protein that is encoded by the gene GLT8D1?,factoid,3
17,Which are the Yamanaka factors?,list,1
18,What is the aim of the Human Chromosome-centric Proteome Project (C-HPP)?,summary,0
19,Where is the protein Pannexin1 located?,factoid,3
20,Which currently known mitochondrial diseases have been attributed to POLG mutations?,list,1
21,What is the effect of ivabradine in heart failure after myocardial infarction?,summary,0
22,What is the mode of inheritance of Wilson's disease?,factoid,3
23,Are transcription and splicing connected?,yesno,2
24,What is the mode of inheritance of Facioscapulohumeral muscular dystrophy (FSHD)?,factoid,3
25,Is Alu hypomethylation associated with breast cancer?,yesno,2
26,Which proteins participate in the formation of the ryanodine receptor quaternary macromolecular complex?,list,1
27,What kind of chromatography is HILIC?,factoid,3
28,What is the effect of TRH on myocardial contractility?,summary,0
29,Proteomic analyses need prior knowledge of the organism complete genome. Is the complete genome of the bacteria of the genus Arthrobacter available?,yesno,2
30,What is the structural fold of bromodomain proteins?,factoid,3
31,List the endoscopic diagnoses that have been reported in children with autism,list,1
32,What are the outcomes of Renal sympathetic denervation?,summary,0
33,Which MAP kinase phosphorylates the transcription factor c-jun?,factoid,3
34,"What is the meaning of the acronym \""TAILS\"" used in protein N-terminomics?",factoid,3
35,Do mutations of AKT1 occur in meningiomas?,yesno,2
36,What are the main indications of lacosamide?,list,1
37,Which fusion protein is involved in the development of Ewing sarcoma?,factoid,3
38,List Hemolytic Uremic Syndrome Triad.,list,1
39,Does physical activity influence gut hormones?,yesno,2
40,What are the effects of depleting protein  km23-1 (DYNLRB1)  in a cell?,list,1
41,Treatment of which disease was investigated in the MR CLEAN study?,factoid,3
42,Which factors activate zygotic gene expression during the maternal-to-zygotic transition in zebrafish?,list,1
43,Is irritable bowel syndrome more common in women with endometriosis?,yesno,2
44,What is evaluated using the EORTC QLQ \u2013 INFO25 questionnaire?,summary,0
45,Does BNP increase after intensive exercise in athletes?,yesno,2
46,What is the association of estrogen replacement therapy and intracranial meningioma risk?,summary,0
47,Are there web based self management strategies for chronic pain ?,yesno,2
48,Is Weaver syndrome similar to Sotos?,yesno,2
49,Which enzyme is targeted by Evolocumab?,factoid,3
